98063,3859
236748,8734
165930,6885
193856,7640
98108,5701
182576,7126
209020,7894
194154,7444
193840,5988
226235,8475
111121,8970
98041,6496
98050,6213
238575,8769
193869,7003
226241,8479
98038,7482
194873,7481
98091,7448
219167,8233
136193,6267
136196,6267
160456,8899
193846,6168
193917,6707
212987,7796
212990,7797
212991,7798
98016,6788
98058,6502
122957,6107
98098,5417
232384,8611
121681,7870
193922,6290
236085,8765
98037,3233
193844,8503
222637,8503
193889,7650
98102,5187
157147,6571
193919,6987
148336,7241
98069,6332
98105,3622
137291,5982
194146,7139
108703,8021
193900,5574
153968,6482
137294,6361
193842,7022
193841,8745
236071,8745
193886,7235
98081,4455
98083,4454
98080,4456
98079,4457
110193,5813
98044,6372
108342,7799
168311,8489
110243,7944
136154,8280
98022,8398
98064,7372
163509,6754
226621,8462
236576,8731
212956,7943
159946,6663
98061,3993
98099,5347
98023,5745
193862,6350
98093,5061
98071,4555
170305,6969
108699,6651
165909,6874
212998,7224
186406,7337
98033,5935
119765,5935
211323,7996
98015,4815
98059,3246
154753,2610
108779,5796
98030,8866
112169,6025
193883,5854
203388,7786
157144,6565
194142,7398
193866,5459
98012,6786
98106,5457
98054,7256
156661,6547
136197,6302
98074,4281
193848,4467
192436,7399
193918,7399
98060,3262
232119,8419
193865,6490
193881,7911
199636,7639
98084,6749
193845,8247
181935,7007
193891,6773
163817,8905
193899,7261
108269,7518
193907,7518
193909,7518
193911,7518
193912,7518
193916,7518
213008,7518
213013,7518
203400,7755
98034,3589
98019,7469
242472,8959
156653,6537
181921,7218
193847,6195
193921,6050
98032,3666
168239,6895
183752,7267
98094,7016
193888,7430
173060,7016
186971,7357
98039,6789
194132,6117
194133,7057
194134,7058
194135,7059
194136,7060
194137,7061
194139,7062
194140,7063
194141,7064
194143,7065
194144,7066
231285,8603
195634,7539
98086,6811
98072,8692
193843,7588
134131,6182
213769,6953
193882,8378
110191,5746
98025,6596
237671,8790
212975,7447
198236,7579
139450,7088
136153,7040
98109,7606
139452,6380
136157,6338
148340,8786
148355,8781
193850,8850
229967,8572
181928,7217
241296,8835
233962,8699
193890,8234
98031,3601
98103,5626
225847,8481
214362,8109
98107,6861
148329,6404
136156,6331
241301,8834
193870,7177
193873,7178
193874,7179
193876,7180
193877,7181
123509,5751
227742,8522
98053,7043
212995,7677
181936,7010
112500,6019
223540,8348
195632,7449
221987,8318
193895,8702
193879,7538
136182,8506
164172,7105
193920,8060
174667,7067
98014,6787
214212,8122
139387,8870
239637,8870
226058,8484
193901,7611
96687,2887
98047,4042
193885,7344
217070,8205
193924,8209
193926,8189
193927,6921
193928,8193
193929,8221
193930,6930
193931,8197
193932,8217
193933,8213
193934,8201
193864,6468
136181,6105
223539,8388
168238,7705
98097,7999
193857,5343
234389,8714
193903,7822
193855,7674
193867,6662
98040,3329
108777,5531
185623,7316
108698,5812
195085,7417
98067,4621
98070,4621
193923,8321
193839,6307
222022,8339
98013,7649
232085,8567
193878,7199
98049,6583
98043,3463
200316,7649
193849,6993
203908,7765
150542,6456
150632,6455
172141,6988
98045,3667
192435,7403
98066,3131
108753,6785
232120,8616
242866,8989
98096,3324
193853,5399
235746,8720
156221,5366
121689,6087
193887,5404
210371,7957
98035,8373
98115,8372
136192,8371
98028,3635
193902,5875
213022,7899
213016,7714
213018,7715
213019,7716
223716,8424
98018,7575
136152,6030
193868,6612
153982,6513
193894,5680
98068,6000
110825,3388
193897,7250
122929,6042
110722,7300
182296,7232
136155,6323
177973,7094
193893,7345
182292,7244
182294,8857
242218,8931
237252,8806
239449,8866
212982,7867
242480,8903
136183,6232
