"346356","Sidetitler og metabeskrivelser",,"reopened","2014-12-08 13:03:00","80866","98053","Snak med kunden om resterende sidetitler",,"2015-04-14 09:54:40",NULL,NULL,"2015-05-28 16:43:39","80866","83600"
"348904","Diana",,"reopened","2014-12-10 09:18:24","93152","98108","PM (2)",,"2014-12-10 09:18:52",NULL,NULL,NULL,"93152",NULL
"373165","Sendt til opfølgning hos Peter / René - afventer",,"reopened","2015-01-07 11:25:58","83600","98032","Sendt til opfølgning hos Peter / René - afventer",,"2015-01-07 11:26:00",NULL,NULL,NULL,"83600",NULL
"374798","Der skal laves sidetitler",,"reopened","2015-01-08 11:44:25","83600","98086","Sidetitler",,"2015-01-08 11:44:25",NULL,NULL,NULL,"83600",NULL
"374798","Der skal laves sidetitler",,"reopened","2015-01-08 11:44:25","83600","98086","Afventer respons fra kunden vedr. tekstindhold",,"2015-02-04 08:49:57",NULL,NULL,NULL,"83600",NULL
"379465","Oprettelse af indhold",,"reopened","2015-01-12 14:47:30","83600","98047","Tekst til sider",,"2015-01-12 14:47:43",NULL,NULL,"2015-03-20 07:22:20","83600","80866"
"379465","Oprettelse af indhold",,"reopened","2015-01-12 14:47:30","83600","98047","Opret undersider med byer",,"2015-01-12 14:47:56",NULL,NULL,NULL,"83600",NULL
"379465","Oprettelse af indhold",,"reopened","2015-01-12 14:47:30","83600","98047","Afventer respons fra kunden",,"2015-02-04 09:02:35",NULL,NULL,NULL,"83600",NULL
"380779","Sidetitler",,"reopened","2015-01-13 08:18:13","83600","98044","Der skal laves sidetitler/sidebeskrivelser",,"2015-01-13 08:18:25",NULL,NULL,NULL,"83600",NULL
"384520","Teknisk opsætning mm (Ny kunde)",,"reopened","2015-01-15 10:35:17","80866","110191","Teknisk opsætning mm (Ny kunde)",,"2015-01-15 10:35:38","2015-01-15","2015-02-15",NULL,"80866",NULL
"384520","Teknisk opsætning mm (Ny kunde)",,"reopened","2015-01-15 10:35:17","80866","110191","Håndkodning af 10-15 sider (afventer tekstsider fra kunde)",,"2015-08-10 07:34:40","2015-08-10",NULL,NULL,"80866",NULL
"394823","Sidetitler og beskrivelser",,"reopened","2015-01-22 08:35:31","80866","137294","Sidetitler og beskrivelser",,"2015-01-22 08:35:36","2015-04-21","2015-05-05",NULL,"80866",NULL
"394823","Sidetitler og beskrivelser",,"reopened","2015-01-22 08:35:31","80866","137294","Kunden skal implementere søgeord",,"2015-05-19 09:13:59","2015-05-19","2015-06-02",NULL,"83600",NULL
"394823","Sidetitler og beskrivelser",,"reopened","2015-01-22 08:35:31","80866","137294","Intern linking",,"2015-08-05 08:13:41","2015-08-05","2015-08-07",NULL,"80866",NULL
"394823","Sidetitler og beskrivelser",,"reopened","2015-01-22 08:35:31","80866","137294","Ret H1'er (sart hud)",,"2015-12-07 12:03:51","2015-12-07","2015-12-14","2016-01-07 10:12:42","83600","83600"
"412939","140 sidetitler",,"reopened","2015-02-02 07:32:46","83600","98023","Lav 140 sidetitler / beskrivelser",,"2015-02-02 07:32:58",NULL,NULL,NULL,"83600",NULL
"415195","Tekniske rettelser (Ny kunde)",,"reopened","2015-02-03 11:41:54","80866","136196","Uhensigtsmæssige links i menustrukturen (jf. webanalyse)",,"2015-02-03 11:42:33","2015-02-03","2015-02-17",NULL,"80866",NULL
"415195","Tekniske rettelser (Ny kunde)",,"reopened","2015-02-03 11:41:54","80866","136196","Ret 302 Redirect til performanzeinstitute.dk",,"2015-02-03 11:42:41","2015-02-03","2015-02-17",NULL,"80866",NULL
"424799","Sidetitler og beskrivelser",,"reopened","2015-02-09 15:05:41","80866","150632","Sidetitler og beskrivelser",,"2015-02-09 15:05:41",NULL,NULL,NULL,"80866",NULL
"424799","Sidetitler og beskrivelser",,"reopened","2015-02-09 15:05:41","80866","150632","Indsæt sidetitler fra Jacob: https://docs.google.com/spreadsheets/d/1aIMKUa_K3iAH2FAudd1TEF7xpQ8SiNMMYUzrpdgg69g/edit?usp=sharing",,"2015-06-18 14:00:21","2015-06-18",NULL,NULL,"80866",NULL
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Søgeord",,"2015-02-23 08:49:54",NULL,NULL,"2015-03-25 15:02:46","80866","80866"
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Webanalyse http://www.shop.trackme.dk/",,"2015-02-23 08:49:54",NULL,NULL,"2015-04-01 11:22:06","80866","80866"
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Opstartsmøde",,"2015-02-23 08:49:54",NULL,NULL,"2015-04-13 13:41:25","80866","83600"
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Sidetitler og beskrivelser",,"2015-02-23 08:49:54",NULL,NULL,"2015-07-01 12:01:42","80866","80866"
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Analytics",,"2015-02-23 08:49:54",NULL,NULL,"2015-03-17 14:19:33","80866","80866"
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","FTP/CMS",,"2015-03-17 14:19:54","2015-03-17",NULL,"2015-03-25 15:03:23","80866","80866"
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Teknisk?",,"2015-04-01 11:22:37",NULL,NULL,NULL,"80866",NULL
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Oprettelse af robots.txt på siden",,"2015-04-13 13:42:19","2015-04-13","2015-04-27",NULL,"83600",NULL
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","Rettelse af H1-tags og H2-tags på hjemmesiden",,"2015-04-13 13:43:38","2015-04-13","2015-04-27","2015-07-01 12:02:07","83600","80866"
"444123","Opstart ny kunde",,"reopened","2015-02-23 08:49:54","80866","156221","mangler varianten category description (for indsættelse af tekst på kategorisider)",,"2015-06-29 11:45:51","2015-06-29",NULL,NULL,"80866",NULL
"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Søgeord",,"2015-02-25 10:05:38",NULL,NULL,"2015-05-05 08:20:30","80866","80866"
"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Webanalyse",,"2015-02-25 10:05:38","2015-05-07",NULL,"2015-05-27 08:20:05","80866","83600"
